log S,v,log Returns
4.64162992,0.01439529,-0.00425457
4.63737535,0.01650935,-0.00173183
4.63564352,0.01563123,0.00921459
4.64485811,0.01276399,-0.01299411
4.63186400,0.01637618,0.00467102
4.63653502,0.01580720,-0.00150530
4.63502972,0.01596788,0.00369420
4.63872391,0.01845536,-0.00918679
4.62953713,0.01968000,-0.00624822
4.62328891,0.02140938,-0.00229595
4.62099296,0.01925641,0.00873685
4.62972981,0.01956406,0.00459076
4.63432057,0.02097069,0.00086878
4.63518936,0.01901433,0.00835493
4.64354429,0.01669783,-0.00684640
4.63669789,0.02225731,0.00101998
4.63771788,0.02239131,0.00499792
4.64271580,0.02063650,-0.02301232
4.61970348,0.02853750,-0.02444346
4.59526003,0.03459363,0.00975724
4.60501726,0.03505250,0.00137056
4.60638782,0.03930852,0.01085099
4.61723881,0.03599738,0.00167731
4.61891612,0.03386816,-0.00723229
4.61168383,0.03566151,-0.00316169
4.60852215,0.03932689,0.00236062
4.61088277,0.04331600,0.01379722
4.62467999,0.04226543,-0.00365979
4.62102019,0.04699695,-0.00622754
4.61479265,0.05120967,-0.02979473
4.58499792,0.05773186,-0.01904319
4.56595473,0.06116841,0.00975423
4.57570896,0.06300609,0.00107813
4.57678709,0.06374664,-0.02270797
4.55407912,0.06197765,-0.03196521
4.52211391,0.06926547,-0.01781847
4.50429544,0.07893599,-0.02490527
4.47939017,0.07562409,-0.00577109
4.47361908,0.07271182,0.00217409
4.47579318,0.07224579,0.00783683
4.48363001,0.07131104,-0.02606837
4.45756164,0.08437802,0.00223202
4.45979366,0.07901252,0.03211809
4.49191174,0.06799669,-0.00793174
4.48398001,0.06766650,0.00543759
4.48941760,0.06298429,0.01146826
4.50088586,0.06115722,-0.00263165
4.49825421,0.06403628,0.00555580
4.50381001,0.06662503,0.01059236
4.51440238,0.06396438,0.00104643
4.51544881,0.06424291,-0.01499387
4.50045494,0.06411559,-0.00750775
4.49294719,0.06555638,0.00064641
4.49359360,0.06211210,-0.01002531
4.48356829,0.06296257,-0.00046553
4.48310275,0.07270000,-0.00262783
4.48047493,0.07224841,-0.00040173
4.48007319,0.07878648,0.00650085
4.48657404,0.07759698,0.01518876
4.50176281,0.07527882,-0.00418904
4.49757376,0.07691475,-0.00269017
4.49488359,0.07890471,-0.01385010
4.48103349,0.08450442,-0.00150193
4.47953156,0.08016049,0.00778172
4.48731328,0.07982244,-0.00941158
4.47790170,0.08046520,-0.03448707
4.44341463,0.08410362,0.02621849
4.46963312,0.07467715,-0.04364048
4.42599264,0.08805484,0.02197696
4.44796960,0.08726003,0.02991704
4.47788664,0.08367309,0.00291821
4.48080486,0.08994494,-0.01319770
4.46760716,0.09336616,-0.05333221
4.41427495,0.10284555,0.02730361
4.44157856,0.09975796,-0.00421479
4.43736378,0.10010447,0.02380367
4.46116745,0.10074682,-0.00311047
4.45805698,0.11298521,0.03657205
4.49462902,0.10355564,-0.00040448
4.49422454,0.10003522,0.00813984
4.50236438,0.09445202,0.00000000
